date,open,high,low,close
"Jul 24, 2017 04:00",110.947,111.039,110.908,111.036
"Jul 24, 2017 03:00",111.02,111.057,110.916,110.942
"Jul 24, 2017 02:00",110.935,111.033,110.899,111.02
"Jul 24, 2017 01:00",110.911,110.994,110.815,110.935
"Jul 24, 2017 00:00",110.935,110.952,110.769,110.913
"Jul 23, 2017 23:00",111.124,111.145,110.924,110.936
"Jul 23, 2017 22:00",111.154,111.172,111.079,111.123
"Jul 23, 2017 21:00",111.114,111.195,111.103,111.155
"Jul 21, 2017 20:00",111.072,111.142,111.068,111.137
"Jul 21, 2017 19:00",111.029,111.089,111.017,111.069
"Jul 21, 2017 18:00",111.088,111.137,111.012,111.033
"Jul 21, 2017 17:00",111.082,111.135,111.042,111.086
"Jul 21, 2017 16:00",111.184,111.226,111.057,111.084
"Jul 21, 2017 15:00",111.126,111.238,111.11,111.18
"Jul 21, 2017 14:00",111.217,111.273,111.089,111.129
"Jul 21, 2017 13:00",111.341,111.418,111.199,111.214
"Jul 21, 2017 12:00",111.558,111.559,111.272,111.339
"Jul 21, 2017 11:00",111.471,111.58,111.469,111.558
"Jul 21, 2017 10:00",111.59,111.608,111.433,111.47
"Jul 21, 2017 09:00",111.755,111.755,111.588,111.593
"Jul 21, 2017 08:00",111.747,111.791,111.683,111.753
"Jul 21, 2017 07:00",111.771,111.838,111.709,111.747
"Jul 21, 2017 06:00",111.886,111.9,111.709,111.769
"Jul 21, 2017 05:00",111.935,111.986,111.879,111.891
"Jul 21, 2017 04:00",111.968,112.081,111.934,111.934
"Jul 21, 2017 03:00",111.929,112.003,111.921,111.966
"Jul 21, 2017 02:00",111.999,111.999,111.852,111.927
"Jul 21, 2017 01:00",111.985,112.07,111.94,112
"Jul 21, 2017 00:00",111.889,112.039,111.838,111.987
"Jul 20, 2017 23:00",111.879,111.931,111.832,111.887
"Jul 20, 2017 22:00",111.847,111.902,111.803,111.879
"Jul 20, 2017 21:00",111.909,111.933,111.833,111.846
"Jul 20, 2017 20:00",111.914,111.95,111.857,111.894
"Jul 20, 2017 19:00",111.963,112.03,111.907,111.913
"Jul 20, 2017 18:00",111.864,112.001,111.852,111.962
"Jul 20, 2017 17:00",111.738,111.889,111.709,111.865
"Jul 20, 2017 16:00",111.674,111.747,111.603,111.737
"Jul 20, 2017 15:00",111.748,111.81,111.479,111.674
"Jul 20, 2017 14:00",112.119,112.212,111.619,111.748
"Jul 20, 2017 13:00",112.223,112.268,112.032,112.117
"Jul 20, 2017 12:00",112.216,112.342,112.15,112.228
