Date,Open,High,Low,Close
"Jul 25, 2017 23:00",1.16463,1.16471,1.16432,1.16443
"Jul 25, 2017 22:00",1.16471,1.1648,1.16454,1.1646
"Jul 25, 2017 21:00",1.16464,1.16486,1.16458,1.16477
"Jul 25, 2017 20:00",1.16472,1.16492,1.16422,1.1647
"Jul 25, 2017 19:00",1.16505,1.16535,1.16442,1.16475
"Jul 25, 2017 18:00",1.1658,1.1659,1.16449,1.16502
"Jul 25, 2017 17:00",1.16533,1.16611,1.16518,1.16576
"Jul 25, 2017 16:00",1.16554,1.16587,1.16497,1.16537
"Jul 25, 2017 15:00",1.16611,1.16709,1.16458,1.16548
"Jul 25, 2017 14:00",1.16958,1.16968,1.16571,1.1661
"Jul 25, 2017 13:00",1.16888,1.17126,1.16806,1.16962
"Jul 25, 2017 12:00",1.16668,1.1699,1.16668,1.16884
"Jul 25, 2017 11:00",1.1651,1.16667,1.16498,1.16666
"Jul 25, 2017 10:00",1.16545,1.16563,1.16471,1.16511
"Jul 25, 2017 09:00",1.16539,1.16586,1.1649,1.16548
"Jul 25, 2017 08:00",1.1651,1.16677,1.16491,1.16537
"Jul 25, 2017 07:00",1.16615,1.16623,1.16433,1.16513
"Jul 25, 2017 06:00",1.1663,1.1669,1.16578,1.16614
"Jul 25, 2017 05:00",1.16617,1.1663,1.1652,1.16629
"Jul 25, 2017 04:00",1.16565,1.16636,1.16562,1.1662
"Jul 25, 2017 03:00",1.16535,1.16566,1.1652,1.16565
"Jul 25, 2017 02:00",1.16408,1.16572,1.16389,1.16533
"Jul 25, 2017 01:00",1.16374,1.16423,1.16345,1.16406
"Jul 25, 2017 00:00",1.16387,1.16404,1.16309,1.16378
"Jul 24, 2017 23:00",1.16376,1.16406,1.16362,1.16388
"Jul 24, 2017 22:00",1.16363,1.1639,1.16346,1.16372
"Jul 24, 2017 21:00",1.16403,1.1645,1.16323,1.1637
"Jul 24, 2017 20:00",1.16433,1.16433,1.16398,1.16404
"Jul 24, 2017 19:00",1.16432,1.16475,1.16427,1.16437
"Jul 24, 2017 18:00",1.16404,1.16434,1.16368,1.1643
"Jul 24, 2017 17:00",1.16382,1.1641,1.16303,1.16406
"Jul 24, 2017 16:00",1.1642,1.16442,1.16258,1.16381
"Jul 24, 2017 15:00",1.16438,1.1648,1.16372,1.16427
"Jul 24, 2017 14:00",1.16379,1.16504,1.16343,1.16435
"Jul 24, 2017 13:00",1.16557,1.1656,1.16333,1.1638
"Jul 24, 2017 12:00",1.1645,1.16578,1.16434,1.16559
"Jul 24, 2017 11:00",1.16488,1.16523,1.16421,1.16446
"Jul 24, 2017 10:00",1.1657,1.16599,1.16459,1.16489
"Jul 24, 2017 09:00",1.16526,1.16572,1.16485,1.16567
"Jul 24, 2017 08:00",1.16394,1.16541,1.16386,1.16528
"Jul 24, 2017 07:00",1.16458,1.16614,1.16303,1.16397
"Jul 24, 2017 06:00",1.16704,1.16723,1.16424,1.16462
"Jul 24, 2017 05:00",1.16712,1.16754,1.16684,1.16702
"Jul 24, 2017 04:00",1.16715,1.16739,1.16693,1.16705
"Jul 24, 2017 03:00",1.16677,1.16751,1.16677,1.16716
"Jul 24, 2017 02:00",1.16689,1.16702,1.16676,1.1668
"Jul 24, 2017 01:00",1.16706,1.16709,1.16629,1.16687
"Jul 24, 2017 00:00",1.16811,1.16841,1.16674,1.16708
"Jul 23, 2017 23:00",1.1673,1.16817,1.16716,1.16813
"Jul 23, 2017 22:00",1.16649,1.16742,1.16647,1.16727
"Jul 23, 2017 21:00",1.16626,1.16702,1.16612,1.16651
"Jul 21, 2017 20:00",1.16687,1.16705,1.16618,1.16634
"Jul 21, 2017 19:00",1.16786,1.16792,1.16647,1.16688
"Jul 21, 2017 18:00",1.16759,1.1681,1.16725,1.16783
